0,1,2,3,4,5,6,trajectory_file,trajectory_id
-1935.0,42276.74,0.0507489,13.4614,107.7131,188.8823,5.8539,eledebtrain001.dat,eledebtrain001
-255.0,42276.71,0.180496,13.4489,194.6175,21.4868,357.8997,eledebtrain001.dat,eledebtrain001
6195.0,42282.78,0.0470694,11.017,75.741,279.1345,362.3818,eledebtrain001.dat,eledebtrain001
6385.0,42321.28,0.1882959,10.9412,168.1598,92.0366,355.8997,eledebtrain001.dat,eledebtrain001
-715.0,42192.72,0.4072139,28.194,351.5995,272.5405,357.0113,eledebtrain002.dat,eledebtrain002
-235.0,42271.82,0.0637583,27.2531,112.556,338.9246,348.3112,eledebtrain002.dat,eledebtrain002
755.0,42296.68,0.3650661,22.3616,154.3212,302.8574,324.2259,eledebtrain002.dat,eledebtrain002
1125.0,42227.96,0.3521713,19.5906,11.4006,313.6472,321.9356,eledebtrain002.dat,eledebtrain002
1725.0,42306.9,0.3791809,13.9704,222.5606,252.5172,312.304,eledebtrain002.dat,eledebtrain002
2525.0,42272.05,0.4336811,6.4674,244.2444,281.2392,318.7207,eledebtrain002.dat,eledebtrain002
3215.0,42250.28,0.4316447,4.7589,15.9194,196.8797,25.2205,eledebtrain002.dat,eledebtrain002
4665.0,42244.26,0.43568,18.8609,206.654,176.5284,35.0543,eledebtrain002.dat,eledebtrain002
6615.0,42267.42,0.2511123,26.3663,129.0853,266.9265,355.394,eledebtrain002.dat,eledebtrain002
7295.0,42265.12,0.3813562,24.622,255.539,249.6137,340.4002,eledebtrain002.dat,eledebtrain002
3695.0,42284.33,0.101188,16.6487,256.3106,261.1312,348.9994,eledebtrain003.dat,eledebtrain003
6515.0,42332.92,0.1065086,13.6722,218.3799,337.8578,315.6969,eledebtrain003.dat,eledebtrain003
6945.0,42301.08,0.1093016,13.0217,159.9939,349.3525,307.7929,eledebtrain003.dat,eledebtrain003
-2935.0,42225.81,0.8176535,9.3707,340.9737,357.7935,256.5417,eledebtrain004.dat,eledebtrain004
-1215.0,42278.07,0.8111489,27.2978,158.7088,188.6762,311.2821,eledebtrain004.dat,eledebtrain004
-915.0,42274.0,0.8220965,19.2628,115.7046,181.6072,283.5438,eledebtrain004.dat,eledebtrain004
1565.0,42174.8,0.6935912,9.0696,99.4672,200.7665,148.4173,eledebtrain004.dat,eledebtrain004
2315.0,42233.02,0.3543749,34.2459,249.7536,302.9854,25.262,eledebtrain004.dat,eledebtrain004
4505.0,42139.29,0.659685,31.1574,236.8214,35.5712,52.1602,eledebtrain004.dat,eledebtrain004
-3875.0,42262.41,0.1057292,3.7292,360.3476,319.5505,9.4626,eledebtrain005.dat,eledebtrain005
605.0,42198.8,0.0994401,9.0515,94.8312,39.1157,21.0754,eledebtrain005.dat,eledebtrain005
1585.0,42276.21,0.1563297,9.5908,272.2858,35.6957,18.1431,eledebtrain005.dat,eledebtrain005
-4575.0,42291.35,0.1026221,3.5479,201.8296,295.5826,101.892,eledebtrain006.dat,eledebtrain006
